timestamp,scenario,pid,cpu_percent,rss_kb,vsz_kb,elapsed
2026-08-31T17:44:50+0700,Soak,41507,0.0,58608,436214944,00:03
2026-08-31T17:44:51+0700,Soak,41507,0.0,58240,436214944,00:04
2026-08-31T17:44:52+0700,Soak,41507,0.4,59616,436214944,00:05
2026-08-31T17:44:53+0700,Soak,41507,1.3,67408,436214944,00:06
2026-08-31T17:44:54+0700,Soak,41507,0.8,68112,436214944,00:07
2026-08-31T17:44:55+0700,Soak,41507,3.4,68688,436219552,00:08
2026-08-31T17:44:56+0700,Soak,41507,4.5,69504,436220320,00:09
2026-08-31T17:44:57+0700,Soak,41507,5.1,71664,436221088,00:10
2026-08-31T17:44:58+0700,Soak,41507,3.7,72496,436221088,00:11
2026-08-31T17:44:59+0700,Soak,41507,5.3,72720,436221088,00:12
2026-08-31T17:45:00+0700,Soak,41507,6.4,72336,436218528,00:13
2026-08-31T17:45:01+0700,Soak,41507,6.8,73056,436219040,00:14
2026-08-31T17:45:03+0700,Soak,41507,6.2,74480,436220576,00:16
2026-08-31T17:45:04+0700,Soak,41507,5.0,74768,436220576,00:17
2026-08-31T17:45:05+0700,Soak,41507,12.0,76640,436220624,00:18
2026-08-31T17:45:06+0700,Soak,41507,9.4,76672,436220624,00:19
2026-08-31T17:45:07+0700,Soak,41507,4.3,76672,436220624,00:20
2026-08-31T17:45:08+0700,Soak,41507,9.7,76704,436220624,00:21
2026-08-31T17:45:09+0700,Soak,41507,9.2,76736,436220624,00:22
2026-08-31T17:45:10+0700,Soak,41507,9.3,75120,436221648,00:23
2026-08-31T17:45:11+0700,Soak,41507,7.0,78192,436222672,00:24
2026-08-31T17:45:12+0700,Soak,41507,9.7,80544,436224464,00:25
2026-08-31T17:45:13+0700,Soak,41507,10.2,81840,436225744,00:26
2026-08-31T17:45:14+0700,Soak,41507,12.4,82400,436225744,00:27
2026-08-31T17:45:15+0700,Soak,41507,6.0,83248,436226256,00:28
2026-08-31T17:45:16+0700,Soak,41507,15.6,84384,436227280,00:29
2026-08-31T17:45:17+0700,Soak,41507,9.1,84832,436227280,00:30
2026-08-31T17:45:18+0700,Soak,41507,14.2,85888,436227280,00:31
2026-08-31T17:45:19+0700,Soak,41507,15.9,86688,436228048,00:32
2026-08-31T17:45:20+0700,Soak,41507,14.8,90064,436231120,00:33
2026-08-31T17:45:21+0700,Soak,41507,14.0,90880,436232144,00:34
2026-08-31T17:45:22+0700,Soak,41507,16.4,93200,436234192,00:35
2026-08-31T17:45:23+0700,Soak,41507,20.3,96064,436237008,00:36
2026-08-31T17:45:24+0700,Soak,41507,14.8,96112,436237008,00:37
2026-08-31T17:45:25+0700,Soak,41507,14.4,96128,436237008,00:38
2026-08-31T17:45:26+0700,Soak,41507,12.9,96544,436237008,00:39
2026-08-31T17:45:27+0700,Soak,41507,16.3,96928,436237008,00:40
2026-08-31T17:45:28+0700,Soak,41507,17.9,97472,436237008,00:41
2026-08-31T17:45:29+0700,Soak,41507,11.6,98112,436238032,00:42
2026-08-31T17:45:30+0700,Soak,41507,14.5,98656,436238032,00:43
2026-08-31T17:45:31+0700,Soak,41507,20.7,100352,436239056,00:44
2026-08-31T17:45:32+0700,Soak,41507,17.1,100400,436239056,00:45
2026-08-31T17:45:33+0700,Soak,41507,18.2,100416,436239056,00:46
2026-08-31T17:45:34+0700,Soak,41507,9.9,100704,436239056,00:47
2026-08-31T17:45:35+0700,Soak,41507,8.1,103552,436241872,00:48
2026-08-31T17:45:36+0700,Soak,41507,23.2,107056,436244944,00:49
2026-08-31T17:45:37+0700,Soak,41507,16.9,109984,436247760,00:50
2026-08-31T17:45:38+0700,Soak,41507,18.6,110064,436247760,00:51
2026-08-31T17:45:39+0700,Soak,41507,14.1,110064,436247760,00:52
2026-08-31T17:45:40+0700,Soak,41507,12.5,112704,436250320,00:53
2026-08-31T17:45:41+0700,Soak,41507,16.3,115760,436253392,00:54
2026-08-31T17:45:42+0700,Soak,41507,17.5,118832,436256208,00:55
2026-08-31T17:45:43+0700,Soak,41507,10.7,120224,436257488,00:56
2026-08-31T17:45:44+0700,Soak,41507,13.1,120224,436257488,00:57
2026-08-31T17:45:45+0700,Soak,41507,15.1,120448,436257488,00:58
2026-08-31T17:45:46+0700,Soak,41507,15.5,120960,436257488,00:59
2026-08-31T17:45:47+0700,Soak,41507,18.8,121504,436257488,01:01
2026-08-31T17:45:49+0700,Soak,41507,13.8,122080,436257488,01:02
2026-08-31T17:45:50+0700,Soak,41507,15.5,123648,436259536,01:03
2026-08-31T17:45:51+0700,Soak,41507,11.7,123696,436259536,01:04
2026-08-31T17:45:52+0700,Soak,41507,15.4,124176,436259536,01:05
2026-08-31T17:45:53+0700,Soak,41507,13.9,124784,436259536,01:06
2026-08-31T17:45:54+0700,Soak,41507,12.3,125264,436259536,01:07
2026-08-31T17:45:55+0700,Soak,41507,20.6,126832,436262608,01:08
2026-08-31T17:45:56+0700,Soak,41507,16.6,126832,436262608,01:09
2026-08-31T17:45:57+0700,Soak,41507,16.4,126832,436262608,01:10
2026-08-31T17:45:58+0700,Soak,41507,15.4,126832,436262608,01:11
2026-08-31T17:45:59+0700,Soak,41507,17.7,126864,436262608,01:12
2026-08-31T17:46:00+0700,Soak,41507,15.3,126880,436262608,01:13
2026-08-31T17:46:01+0700,Soak,41507,8.4,126896,436262608,01:14
2026-08-31T17:46:02+0700,Soak,41507,12.7,124480,436259280,01:15
2026-08-31T17:46:03+0700,Soak,41507,14.0,124480,436259280,01:16
2026-08-31T17:46:04+0700,Soak,41507,16.4,124480,436259280,01:17
2026-08-31T17:46:05+0700,Soak,41507,17.3,124480,436259280,01:18
2026-08-31T17:46:06+0700,Soak,41507,16.0,124736,436259280,01:19
2026-08-31T17:46:07+0700,Soak,41507,13.6,125200,436259792,01:20
2026-08-31T17:46:08+0700,Soak,41507,15.5,126112,436262864,01:21
2026-08-31T17:46:09+0700,Soak,41507,11.2,128080,436265680,01:22
2026-08-31T17:46:10+0700,Soak,41507,6.5,125872,436265936,01:23
2026-08-31T17:46:11+0700,Soak,41507,11.2,124432,436265936,01:24
2026-08-31T17:46:12+0700,Soak,41507,7.3,124960,436265936,01:25
2026-08-31T17:46:13+0700,Soak,41507,5.5,125152,436265936,01:26
2026-08-31T17:46:14+0700,Soak,41507,15.4,125456,436265936,01:27
2026-08-31T17:46:15+0700,Soak,41507,16.9,127040,436267472,01:28
2026-08-31T17:46:16+0700,Soak,41507,15.1,130032,436270288,01:29
2026-08-31T17:46:17+0700,Soak,41507,32.6,137616,436274128,01:30
2026-08-31T17:46:18+0700,Soak,41507,16.7,137648,436274128,01:31
2026-08-31T17:46:19+0700,Soak,41507,17.5,137664,436274128,01:32
2026-08-31T17:46:20+0700,Soak,41507,14.9,137680,436274128,01:33
2026-08-31T17:46:21+0700,Soak,41507,14.5,137616,436274128,01:34
2026-08-31T17:46:22+0700,Soak,41507,6.8,137616,436274128,01:35
2026-08-31T17:46:23+0700,Soak,41507,14.2,137616,436274128,01:36
2026-08-31T17:46:24+0700,Soak,41507,13.0,137616,436274128,01:37
2026-08-31T17:46:25+0700,Soak,41507,11.6,134800,436274128,01:38
2026-08-31T17:46:26+0700,Soak,41507,17.6,135984,436274128,01:39
2026-08-31T17:46:27+0700,Soak,41507,15.7,136384,436274128,01:40
2026-08-31T17:46:28+0700,Soak,41507,16.3,136400,436274128,01:41
2026-08-31T17:46:29+0700,Soak,41507,15.9,126944,436274128,01:42
2026-08-31T17:46:30+0700,Soak,41507,12.5,129680,436274128,01:43
2026-08-31T17:46:31+0700,Soak,41507,15.5,132656,436274128,01:44
2026-08-31T17:46:32+0700,Soak,41507,16.1,133056,436274128,01:45
2026-08-31T17:46:34+0700,Soak,41507,12.5,128384,436274128,01:47
2026-08-31T17:46:35+0700,Soak,41507,10.3,131904,436273104,01:48
2026-08-31T17:46:36+0700,Soak,41507,10.4,131488,436273104,01:49
2026-08-31T17:46:37+0700,Soak,41507,5.8,128304,436273104,01:50
2026-08-31T17:46:38+0700,Soak,41507,11.3,129056,436273104,01:51
2026-08-31T17:46:39+0700,Soak,41507,13.8,128928,436273104,01:52
2026-08-31T17:46:40+0700,Soak,41507,17.5,125440,436273104,01:53
2026-08-31T17:46:41+0700,Soak,41507,9.0,87296,436273104,01:54
2026-08-31T17:46:42+0700,Soak,41507,14.2,122880,436275152,01:55
2026-08-31T17:46:43+0700,Soak,41507,16.1,122912,436275152,01:56
2026-08-31T17:46:44+0700,Soak,41507,12.7,123072,436275152,01:57
2026-08-31T17:46:45+0700,Soak,41507,8.2,123600,436275152,01:58
2026-08-31T17:46:46+0700,Soak,41507,14.1,123664,436275152,01:59
2026-08-31T17:46:47+0700,Soak,41507,14.4,123696,436275152,02:00
2026-08-31T17:46:48+0700,Soak,41507,15.4,123696,436275152,02:01
2026-08-31T17:46:49+0700,Soak,41507,15.8,123696,436275152,02:02
2026-08-31T17:46:50+0700,Soak,41507,14.9,123712,436275152,02:03
2026-08-31T17:46:51+0700,Soak,41507,17.4,123472,436273360,02:04
2026-08-31T17:46:52+0700,Soak,41507,17.7,126144,436273360,02:05
2026-08-31T17:46:53+0700,Soak,41507,16.7,128880,436273360,02:06
2026-08-31T17:46:54+0700,Soak,41507,15.0,131600,436273360,02:07
2026-08-31T17:46:55+0700,Soak,41507,17.2,134304,436273360,02:08
2026-08-31T17:46:56+0700,Soak,41507,18.0,137264,436273360,02:09
2026-08-31T17:46:57+0700,Soak,41507,13.1,137632,436273360,02:10
2026-08-31T17:46:58+0700,Soak,41507,15.7,138000,436273360,02:11
2026-08-31T17:46:59+0700,Soak,41507,14.2,138736,436273360,02:12
2026-08-31T17:47:00+0700,Soak,41507,15.4,138752,436273360,02:13
2026-08-31T17:47:01+0700,Soak,41507,15.4,138752,436273360,02:14
2026-08-31T17:47:02+0700,Soak,41507,15.2,138752,436273360,02:15
2026-08-31T17:47:03+0700,Soak,41507,6.4,138752,436273360,02:16
2026-08-31T17:47:04+0700,Soak,41507,18.0,138752,436273360,02:17
2026-08-31T17:47:05+0700,Soak,41507,17.7,138752,436273360,02:18
2026-08-31T17:47:06+0700,Soak,41507,17.9,138752,436273360,02:19
2026-08-31T17:47:07+0700,Soak,41507,15.6,140432,436274896,02:20
2026-08-31T17:47:08+0700,Soak,41507,16.6,140464,436274896,02:21
2026-08-31T17:47:09+0700,Soak,41507,17.9,140464,436274896,02:22
2026-08-31T17:47:10+0700,Soak,41507,13.3,140464,436274896,02:23
2026-08-31T17:47:11+0700,Soak,41507,18.1,140464,436274896,02:24
2026-08-31T17:47:12+0700,Soak,41507,18.2,140464,436274896,02:25
2026-08-31T17:47:13+0700,Soak,41507,16.4,140464,436274896,02:26
2026-08-31T17:47:14+0700,Soak,41507,15.1,140496,436274896,02:27
2026-08-31T17:47:16+0700,Soak,41507,14.7,141152,436274896,02:29
2026-08-31T17:47:17+0700,Soak,41507,18.7,141168,436274896,02:30
2026-08-31T17:47:18+0700,Soak,41507,15.3,141200,436274896,02:31
2026-08-31T17:47:19+0700,Soak,41507,17.1,141216,436274896,02:32
2026-08-31T17:47:20+0700,Soak,41507,19.2,141216,436274896,02:33
2026-08-31T17:47:21+0700,Soak,41507,17.9,141216,436274896,02:34
2026-08-31T17:47:22+0700,Soak,41507,18.5,141216,436274896,02:35
2026-08-31T17:47:23+0700,Soak,41507,18.1,141216,436274896,02:36
2026-08-31T17:47:24+0700,Soak,41507,19.2,140160,436273616,02:37
2026-08-31T17:47:25+0700,Soak,41507,16.4,140160,436273616,02:38
2026-08-31T17:47:26+0700,Soak,41507,14.4,140160,436273616,02:39
2026-08-31T17:47:27+0700,Soak,41507,20.1,140224,436273616,02:40
2026-08-31T17:47:28+0700,Soak,41507,14.6,140224,436273616,02:41
2026-08-31T17:47:29+0700,Soak,41507,14.7,140224,436273616,02:42
2026-08-31T17:47:30+0700,Soak,41507,14.8,140224,436273616,02:43
2026-08-31T17:47:31+0700,Soak,41507,16.5,140224,436273616,02:44
2026-08-31T17:47:32+0700,Soak,41507,16.6,140224,436273616,02:45
2026-08-31T17:47:33+0700,Soak,41507,13.8,140224,436273616,02:46
2026-08-31T17:47:34+0700,Soak,41507,16.5,140224,436273616,02:47
2026-08-31T17:47:35+0700,Soak,41507,18.1,140240,436273616,02:48
2026-08-31T17:47:36+0700,Soak,41507,17.8,140240,436273616,02:49
2026-08-31T17:47:37+0700,Soak,41507,18.5,140240,436273616,02:50
2026-08-31T17:47:38+0700,Soak,41507,18.9,140240,436273616,02:51
2026-08-31T17:47:39+0700,Soak,41507,17.6,140240,436273616,02:52
2026-08-31T17:47:40+0700,Soak,41507,17.0,140240,436273616,02:53
2026-08-31T17:47:41+0700,Soak,41507,16.6,140496,436273616,02:54
2026-08-31T17:47:42+0700,Soak,41507,21.1,140656,436273616,02:55
2026-08-31T17:47:43+0700,Soak,41507,17.9,140672,436273616,02:56
2026-08-31T17:47:44+0700,Soak,41507,17.9,140672,436273616,02:57
2026-08-31T17:47:45+0700,Soak,41507,19.8,140672,436273616,02:58
2026-08-31T17:47:46+0700,Soak,41507,17.8,140672,436273616,02:59
2026-08-31T17:47:47+0700,Soak,41507,16.9,140672,436273616,03:00
2026-08-31T17:47:48+0700,Soak,41507,16.6,141264,436273616,03:01
2026-08-31T17:47:49+0700,Soak,41507,17.4,141264,436273616,03:02
2026-08-31T17:47:50+0700,Soak,41507,16.4,141296,436273616,03:03
2026-08-31T17:47:51+0700,Soak,41507,15.0,141296,436273616,03:04
2026-08-31T17:47:52+0700,Soak,41507,13.6,141296,436273616,03:05
2026-08-31T17:47:53+0700,Soak,41507,15.8,141296,436273616,03:06
2026-08-31T17:47:54+0700,Soak,41507,17.3,141296,436273616,03:07
2026-08-31T17:47:56+0700,Soak,41507,8.7,141296,436273616,03:09
2026-08-31T17:47:57+0700,Soak,41507,12.5,141296,436273616,03:10
2026-08-31T17:47:58+0700,Soak,41507,17.1,141296,436273616,03:11
2026-08-31T17:47:59+0700,Soak,41507,17.5,141312,436273616,03:12
2026-08-31T17:48:00+0700,Soak,41507,15.7,141312,436273616,03:13
2026-08-31T17:48:01+0700,Soak,41507,15.3,141360,436273616,03:14
2026-08-31T17:48:02+0700,Soak,41507,16.3,141360,436273616,03:15
2026-08-31T17:48:03+0700,Soak,41507,17.7,141360,436273616,03:16
2026-08-31T17:48:04+0700,Soak,41507,14.8,141360,436273616,03:17
2026-08-31T17:48:05+0700,Soak,41507,15.2,141360,436273616,03:18
2026-08-31T17:48:06+0700,Soak,41507,19.4,141376,436273616,03:19
2026-08-31T17:48:07+0700,Soak,41507,12.5,141376,436273616,03:20
2026-08-31T17:48:08+0700,Soak,41507,14.1,141376,436273616,03:21
2026-08-31T17:48:09+0700,Soak,41507,13.9,141024,436273616,03:22
2026-08-31T17:48:10+0700,Soak,41507,12.9,141040,436273616,03:23
2026-08-31T17:48:11+0700,Soak,41507,5.4,141056,436273616,03:24
2026-08-31T17:48:12+0700,Soak,41507,8.3,140624,436273616,03:25
2026-08-31T17:48:13+0700,Soak,41507,10.6,139984,436273616,03:26
2026-08-31T17:48:14+0700,Soak,41507,14.4,139584,436273616,03:27
2026-08-31T17:48:15+0700,Soak,41507,13.9,139600,436273616,03:28
2026-08-31T17:48:16+0700,Soak,41507,16.1,133296,436273616,03:29
2026-08-31T17:48:17+0700,Soak,41507,20.2,133472,436273616,03:30
2026-08-31T17:48:18+0700,Soak,41507,16.2,133472,436273616,03:31
2026-08-31T17:48:19+0700,Soak,41507,18.4,133504,436273616,03:32
2026-08-31T17:48:20+0700,Soak,41507,15.5,127440,436273616,03:33
2026-08-31T17:48:21+0700,Soak,41507,16.5,119536,436273616,03:34
2026-08-31T17:48:22+0700,Soak,41507,18.1,122960,436273872,03:35
2026-08-31T17:48:23+0700,Soak,41507,4.4,125104,436273872,03:36
2026-08-31T17:48:24+0700,Soak,41507,12.6,127888,436274128,03:37
2026-08-31T17:48:25+0700,Soak,41507,11.9,130624,436274128,03:38
2026-08-31T17:48:26+0700,Soak,41507,16.0,118528,436274128,03:39
2026-08-31T17:48:27+0700,Soak,41507,15.3,118736,436274128,03:40
2026-08-31T17:48:28+0700,Soak,41507,13.1,119760,436274128,03:41
2026-08-31T17:48:29+0700,Soak,41507,16.5,122464,436274128,03:42
2026-08-31T17:48:30+0700,Soak,41507,13.8,125072,436274128,03:43
2026-08-31T17:48:31+0700,Soak,41507,14.3,127808,436274128,03:44
2026-08-31T17:48:32+0700,Soak,41507,12.8,130304,436274128,03:45
2026-08-31T17:48:33+0700,Soak,41507,5.2,132144,436274128,03:46
2026-08-31T17:48:34+0700,Soak,41507,15.4,132528,436274128,03:47
2026-08-31T17:48:35+0700,Soak,41507,13.4,132848,436274128,03:48
2026-08-31T17:48:36+0700,Soak,41507,11.3,133024,436274128,03:49
2026-08-31T17:48:37+0700,Soak,41507,12.1,133024,436274128,03:50
2026-08-31T17:48:38+0700,Soak,41507,15.1,133040,436274128,03:51
2026-08-31T17:48:39+0700,Soak,41507,15.7,133040,436274128,03:52
2026-08-31T17:48:40+0700,Soak,41507,14.4,133040,436274128,03:53
2026-08-31T17:48:41+0700,Soak,41507,16.1,133072,436274128,03:54
2026-08-31T17:48:42+0700,Soak,41507,15.2,133072,436274128,03:55
2026-08-31T17:48:44+0700,Soak,41507,16.7,133072,436274128,03:57
2026-08-31T17:48:45+0700,Soak,41507,18.4,133136,436274128,03:58
2026-08-31T17:48:46+0700,Soak,41507,16.1,134208,436274128,03:59
2026-08-31T17:48:47+0700,Soak,41507,19.2,134240,436274128,04:00
2026-08-31T17:48:48+0700,Soak,41507,15.9,138064,436274128,04:01
2026-08-31T17:48:49+0700,Soak,41507,14.8,138064,436274128,04:02
2026-08-31T17:48:50+0700,Soak,41507,16.8,138080,436274128,04:03
2026-08-31T17:48:51+0700,Soak,41507,14.8,138080,436274128,04:04
2026-08-31T17:48:52+0700,Soak,41507,15.3,138080,436274128,04:05
2026-08-31T17:48:53+0700,Soak,41507,13.8,136416,436274128,04:06
2026-08-31T17:48:54+0700,Soak,41507,16.1,136432,436274128,04:07
2026-08-31T17:48:55+0700,Soak,41507,15.8,136432,436274128,04:08
2026-08-31T17:48:56+0700,Soak,41507,15.6,134800,436274128,04:09
2026-08-31T17:48:57+0700,Soak,41507,15.5,134160,436273360,04:10
2026-08-31T17:48:58+0700,Soak,41507,11.8,133248,436273360,04:11
