timestamp,scenario,pid,cpu_percent,rss_kb,vsz_kb,elapsed
2026-09-01T17:35:08+0700,Spike,67578,0.0,68448,436215024,00:03
2026-09-01T17:35:09+0700,Spike,67578,0.0,68448,436215024,00:04
2026-09-01T17:35:10+0700,Spike,67578,0.6,65328,436215024,00:05
2026-09-01T17:35:11+0700,Spike,67578,1.9,59040,436215024,00:06
2026-09-01T17:35:13+0700,Spike,67578,0.9,59488,436219120,00:08
2026-09-01T17:35:14+0700,Spike,67578,1.9,59840,436219376,00:09
2026-09-01T17:35:15+0700,Spike,67578,1.8,60240,436219632,00:10
2026-09-01T17:35:16+0700,Spike,67578,1.7,60768,436219888,00:11
2026-09-01T17:35:17+0700,Spike,67578,1.8,61360,436220400,00:12
2026-09-01T17:35:18+0700,Spike,67578,3.3,64368,436221424,00:13
2026-09-01T17:35:19+0700,Spike,67578,1.1,64608,436221424,00:14
2026-09-01T17:35:20+0700,Spike,67578,3.4,62784,436217072,00:15
2026-09-01T17:35:21+0700,Spike,67578,1.3,63056,436217328,00:16
2026-09-01T17:35:22+0700,Spike,67578,1.4,63504,436217584,00:17
2026-09-01T17:35:23+0700,Spike,67578,2.1,64048,436217840,00:18
2026-09-01T17:35:24+0700,Spike,67578,2.3,64272,436218096,00:19
2026-09-01T17:35:25+0700,Spike,67578,1.6,64304,436218096,00:20
2026-09-01T17:35:26+0700,Spike,67578,1.3,64608,436218096,00:21
2026-09-01T17:35:27+0700,Spike,67578,1.2,64672,436218096,00:22
2026-09-01T17:35:28+0700,Spike,67578,0.7,64736,436218096,00:23
2026-09-01T17:35:29+0700,Spike,67578,1.3,64768,436218096,00:24
2026-09-01T17:35:30+0700,Spike,67578,2.0,64816,436218096,00:25
2026-09-01T17:35:31+0700,Spike,67578,1.8,64848,436218096,00:26
2026-09-01T17:35:32+0700,Spike,67578,2.1,64528,436217328,00:27
2026-09-01T17:35:33+0700,Spike,67578,1.3,64560,436217328,00:28
2026-09-01T17:35:34+0700,Spike,67578,1.7,64608,436217328,00:29
2026-09-01T17:35:35+0700,Spike,67578,0.7,64704,436217328,00:30
2026-09-01T17:35:36+0700,Spike,67578,2.0,64736,436217328,00:31
2026-09-01T17:35:37+0700,Spike,67578,1.0,64784,436217328,00:32
2026-09-01T17:35:38+0700,Spike,67578,1.6,64816,436217328,00:33
2026-09-01T17:35:39+0700,Spike,67578,2.4,64960,436217328,00:34
2026-09-01T17:35:40+0700,Spike,67578,1.7,64704,436217072,00:35
2026-09-01T17:35:41+0700,Spike,67578,1.4,64944,436217328,00:36
2026-09-01T17:35:42+0700,Spike,67578,2.5,65392,436217840,00:37
2026-09-01T17:35:43+0700,Spike,67578,1.5,65424,436217840,00:38
2026-09-01T17:35:44+0700,Spike,67578,2.5,65456,436217840,00:39
2026-09-01T17:35:45+0700,Spike,67578,1.8,65536,436217840,00:40
2026-09-01T17:35:46+0700,Spike,67578,1.7,65568,436217840,00:41
2026-09-01T17:35:47+0700,Spike,67578,1.7,65712,436217840,00:42
2026-09-01T17:35:48+0700,Spike,67578,1.3,65760,436217840,00:43
2026-09-01T17:35:49+0700,Spike,67578,1.5,65792,436217840,00:44
2026-09-01T17:35:50+0700,Spike,67578,1.8,65856,436217840,00:45
2026-09-01T17:35:51+0700,Spike,67578,0.9,65952,436218096,00:46
2026-09-01T17:35:52+0700,Spike,67578,1.9,66368,436218352,00:47
2026-09-01T17:35:53+0700,Spike,67578,2.0,66688,436218608,00:48
2026-09-01T17:35:54+0700,Spike,67578,2.5,66736,436218608,00:49
2026-09-01T17:35:55+0700,Spike,67578,6.9,67488,436218864,00:50
2026-09-01T17:35:56+0700,Spike,67578,6.7,70656,436219936,00:51
2026-09-01T17:35:57+0700,Spike,67578,5.6,75104,436220448,00:52
2026-09-01T17:35:58+0700,Spike,67578,9.7,75888,436221216,00:53
2026-09-01T17:36:00+0700,Spike,67578,9.5,78016,436223008,00:55
2026-09-01T17:36:01+0700,Spike,67578,9.2,78800,436223520,00:56
2026-09-01T17:36:02+0700,Spike,67578,11.1,79296,436223520,00:57
2026-09-01T17:36:03+0700,Spike,67578,15.4,79696,436223520,00:58
2026-09-01T17:36:04+0700,Spike,67578,7.5,79872,436223776,00:59
2026-09-01T17:36:05+0700,Spike,67578,10.6,83104,436226848,01:00
2026-09-01T17:36:06+0700,Spike,67578,9.3,84288,436228128,01:01
2026-09-01T17:36:07+0700,Spike,67578,10.8,86544,436230176,01:02
2026-09-01T17:36:08+0700,Spike,67578,10.4,86544,436230176,01:03
2026-09-01T17:36:09+0700,Spike,67578,10.9,86544,436230176,01:04
2026-09-01T17:36:10+0700,Spike,67578,6.9,86768,436230176,01:05
2026-09-01T17:36:11+0700,Spike,67578,8.9,87024,436230176,01:06
2026-09-01T17:36:12+0700,Spike,67578,10.1,87472,436230176,01:07
2026-09-01T17:36:13+0700,Spike,67578,10.7,88256,436231456,01:08
2026-09-01T17:36:14+0700,Spike,67578,8.7,88256,436231456,01:09
2026-09-01T17:36:15+0700,Spike,67578,8.7,89952,436232736,01:10
2026-09-01T17:36:16+0700,Spike,67578,9.3,93168,436235552,01:11
2026-09-01T17:36:17+0700,Spike,67578,12.6,94720,436237088,01:12
2026-09-01T17:36:18+0700,Spike,67578,5.2,95376,436237600,01:13
2026-09-01T17:36:19+0700,Spike,67578,11.3,98256,436240416,01:14
2026-09-01T17:36:20+0700,Spike,67578,10.9,101248,436243488,01:15
2026-09-01T17:36:21+0700,Spike,67578,13.3,101664,436243744,01:16
2026-09-01T17:36:22+0700,Spike,67578,8.1,101952,436243744,01:17
2026-09-01T17:36:23+0700,Spike,67578,6.9,102448,436243744,01:18
2026-09-01T17:36:24+0700,Spike,67578,14.3,104176,436245024,01:19
2026-09-01T17:36:25+0700,Spike,67578,0.7,104208,436245024,01:20
2026-09-01T17:36:26+0700,Spike,67578,1.1,104208,436245024,01:21
2026-09-01T17:36:27+0700,Spike,67578,1.2,104208,436245024,01:22
2026-09-01T17:36:28+0700,Spike,67578,1.0,104208,436245024,01:23
2026-09-01T17:36:29+0700,Spike,67578,1.1,103472,436245024,01:24
2026-09-01T17:36:30+0700,Spike,67578,0.9,103488,436245024,01:25
2026-09-01T17:36:31+0700,Spike,67578,1.4,101728,436245024,01:26
